SITE_THICKNESS_LEGEND_1;"Grubość szyby pojedyńczej lub szyby skrajnej w szybie zespolnej"
SITE_THICKNESS_LEGEND_2;"Grubość szyby środkowej w szybie zepolonej dwukomowej"
SITE_THICKNESS_LEGEND_3;"Grubość szyby szyby skranjnej w szybie zespolonej"

SITE_SECTION_TOTAL_WIDTH;"Ogranicz grubość pakietu"
SITE_SECTION_GLASES_WIDTH;"Ogranicz grubość szyb w pakiecie"
SITE_SECTION_WEIGHT;"Określ wagę pakietu"
SITE_SECTION_PROTECTION_CLASS;"Określ klasę ochrony"
SITE_SECTION_SECURITY_CLASS;"Określ klasę bezpieczeństwa"
SITE_SECTION_LAMINATED_GLASS;"Uwzględniaj tylko szyby zawierające szybę laminowaną"

SITE_UNIT_DB;[dB]
SITE_UNIT_MM;[mm]
SITE_UNIT_CLASS;[klasa]
SITE_UNIT_KG;[kg]

SITE_TITLE_TOTAL_WIDTH;"Grubość całkowita pakietu"
SITE_TITLE_GLASES_WIDTH;"Grubość szyb w pakiecie"
SITE_TITLE_WEIGHT;"Waga pakietu 1m<sup>2</sup>"
SITE_TITLE_PROTECTION_CLASS;"Klasa szyby laminowanej ochronnej"
SITE_TITLE_SECURITY_CLASS;"Klasa szyby laminowanej bezpiecznej"
SITE_TITLE_LAMINATED_GLASS;"Uwzględniaj tylko szyby zawierające szybę laminowaną"
SITE_TITLE_LAMINATED_PDF;"Szyba laminowana"

SITE_YES;Tak
SITE_NO;Nie
SITE_EMPTY;Brak
SITE_HEADER_TITLE;"KONFIGURATOR SZYB DŹWIĘKOIZOLACYJNYCH"
SITE_ACOUSTIC_INSULATION_REQUIRED;"WYMAGANA IZOLACYJNOŚĆ AKUSTYCZNA"
SITE_SEARCH_RESULTS;"WYNIKI WYSZUKIWANIA"
SITE_COMMENTS;UWAGI
SITE_DATE_GENERATION;"Data wygenerowania"
