Rw,C,RwC,Ctr,RwCtr,STC,OITC,nazwa EN,nazwa US,glass 1,gI,PVBI,spacer 1,S,glass 2,g II,PVB II,spacer 2,SII,glass 3,g III PVB III,,Laminat akustyczny,mm,kg/m2,Certyfikat,Certyfikat
39,-2,37,-6,33,,,"8,8 (VSG 44.2)/16/6T",,44.2,8,"0,76",16 Ar,16,6,6,,-,,-,,,nie,"30,76","35,00",https://www.pressglass.com/wp-content/uploads/2016/07/IFT-Rosenheim-Rw39-VSG44.2-16Ar-6-ang.pdf,
39,-2,37,-5,34,39,32,8T/16/10,8/16/10,8,8,,16 Ar,16,10,10,,-,,-,,,nie,"34,00","45,00",https://pressglass.com/wp-content/uploads/2019/02/Gryfitlab_Rw39_IGU_8-16-10-en.pdf,https://pressglass.com/wp-content/uploads/2019/02/Gryfitlab_Rw39_IGU_8-16-10.pdf
39,-2,37,-5,34,,,"8,8 (VSG 44.2)/20/6T",,44.2,8,"0,76",20 Ar,20,6,6,,-,,-,,,nie,"34,76","35,00",https://www.pressglass.com/wp-content/uploads/2016/07/IFT-Rosenheim-Rw39-VSG44.2-20Ar-6-ang.pdf,
40,-2,38,-6,34,,,"6,4 (VSG 33.1) Acoustic/16/6T",,33.1 A,6,"0,5",16 Ar,16,6,6,,-,,-,,,tak,"28,50","30,00",https://www.pressglass.com/wp-content/uploads/2016/07/IFT_Rosenheim_Rw40_VSG33.1_Silance-16Ar-6_en.pdf,
40,-2,38,-6,34,,,"9,5 (VSG 44.4)/16/6T",,44.4,8,"1,52",16 Ar,16,6,6,,-,,-,,,nie,"31,52","35,00",https://www.pressglass.com/wp-content/uploads/2016/07/IFT-Rosenheim-Rw40-VSG44.4-16Ar-6-ang.pdf,
40,-2,38,-6,34,,,"8,8 (VSG 44.2)/16/6,4T (VSG 33.1T)",,44.2,8,"0,76",16 Ar,16,33.1,6,"0,38",-,,-,,,nie,"31,14","35,00",https://www.pressglass.com/wp-content/uploads/2016/07/IFT-Rosenheim-Rw40-44.2-16Ar-33.1T-swiadectwo-j.-angielski.pdf,
40,-1,39,-5,35,,,"6,4 (VSG 33.1) Acoustic/12/6,4T (VSG 33.1T) Acoustic",,33.1 A,6,"0,5",12 Ar,12,33.1 A,6,"0,5",-,,-,,,tak,"25,00","30,00",https://www.pressglass.com/wp-content/uploads/2016/07/IFT-Rosenheim-Rw40-VSG-33.1-akustic-12Ar-VSG-33.1-akustic-swiadectwo-j.-angielski.pdf,
40,-1,39,-4,36,,,"6/16/10,8T (VSG 55.2T)",,6,6,,16 Ar,16,55.2,10,"0,76",-,,-,,,nie,"32,76","40,00",https://www.pressglass.com/wp-content/uploads/2016/07/IFT-Rosenheim-Rw40-6-16Ar-55.2T-swiadectwo-j.-angielski.pdf,
40,-1,39,-3,37,40,35,8T/16/12,8/16/12,8,8,,16 Ar,16,12,12,,-,,-,,,nie,"36,00","50,00",https://pressglass.com/wp-content/uploads/2019/02/Gryfitlab_Rw_40_IGU_8-16-12-en.pdf,https://pressglass.com/wp-content/uploads/2019/02/Gryfitlab_Rw_40_IGU_8-16-12.pdf
40,-1,39,-4,36,,,"8/20/8,8T (VSG 44.2T)",,8,8,,20 Ar,20,44.2,8,"0,76",-,,-,,,nie,"36,76","40,00",https://www.pressglass.com/wp-content/uploads/2016/07/CIS-Rw40-8-20Ar-44.2T-en.pdf,
